번호,지역,액티비티 이름,설명
1,방콕,차오프라야 강 보트 투어,"강을 따라 방콕의 주요 사원과 시티뷰, 야경을 감상하고, 유람선에서 식사를 즐길 수 있는 인기 체험."
2,방콕,씨라이프 방콕 오션월드,동남아시아 최대 규모 수족관에서 해양 생물을 직접 보고 만져볼 수 있는 가족형 액티비티.
3,방콕,사파리 월드 투어,"방콕 외곽의 동물원과 테마파크에서 동물 쇼, 기린 먹이주기 등 다양한 체험 활동 제공."
4,방콕,시암 어메이징 파크,다양한 놀이기구와 넓은 워터파크를 갖춘 방콕 대표 테마파크.
5,방콕,카오산 로드 & 시장 투어,"거리 음식과 밤문화, 다양한 로컬 체험과 쇼핑을 한 번에 경험할 수 있음."
6,푸켓,피피섬 & 산호섬 투어,"스피드보트나 요트로 떠나는 섬 여행과 스노클링, 바다수영 등 다양한 해양레저를 즐김."
7,푸켓,푸켓 판타씨 쇼,"푸켓의 대형 테마쇼로 화려한 무대와 태국 전통문화, 무용 등을 감상."
8,푸켓,방라 로드 나이트라이프,"바, 클럽, 공연, 거리 쇼 등 푸켓의 밤문화와 다양한 엔터테인먼트를 즐길 수 있음."
9,푸켓,씨카누 & 팡아만 투어,팡아만의 석회암 섬에서 카약 또는 씨카누로 자연 경관을 체험.
10,푸켓,빠통 비치 워터 스포츠,"제트스키, 패러세일링, 바나나보트 등 해변에서 다양한 수상 스포츠를 현장 결제로 체험"
11,치앙마이,도이수텝 트레킹,"아름다운 자연과 전망, 그리고 현지인의 신앙을 체험하는 인기 코스."
12,치앙마이,치앙마이 야시장 투어,"다양한 먹거리와 기념품, 현지 문화를 체험하며 저녁 시간을 보낼 수 있음."
13,치앙마이,정글 짚라인 체험,숲 속을 활공하는 짚라인 어드벤처로 짜릿한 스릴을 만끽할 수 있음.​
14,치앙마이,코끼리 보호소 체험,코끼리와 직접 교감하고 환경보호 활동을 체험하는 의미 있는 액티비티.
15,치앙마이,대나무 뗏목 래프팅,치앙마이 외곽의 강에서 대나무 뗏목에 올라 자연을 감상하며 래프팅을 즐김.
