번호,지역,박물관 이름,운영시간 & 휴무일,설명
1,런던,British Museum,"매일 10:00–17:00, 금요일 20:30, 12/24–26 휴무",세계 최대 인류·문화 박물관
2,런던,National Gallery,"매일 10:00–18:00, 금 21:00",유럽 회화 걸작 전시
3,런던,Tate Modern,"일–목 10:00–18:00, 금/토 22:00",현대미술 중심 최대 규모 갤러리
4,런던,Natural History Museum,"매일 10:00–17:50, 12/24–26 휴무",공룡·지구과학 중심 자연사 박물관
5,런던,Victoria and Albert Museum,"매일 10:00–17:45, 금 22:00",세계적 디자인·장식미술 박물관
6,런던,Science Museum,매일 10:00–18:00,과학·기술 대중 전시
7,런던,Museum of London Docklands,매일 10:00–17:00,런던 항구·무역 역사 전시
8,런던,Imperial War Museum London,매일 10:00–18:00,전쟁·군사 역사
9,런던,Design Museum,"월–목 10:00–17:00, 금–일 18:00",현대 디자인 전문 박물관
10,런던,Sir John Soane’s Museum,"수–일 10:00–17:00, 월/화 휴무",건축가 소네의 하우스박물관
11,런던,Royal Air Force Museum,매일 10:00–17:00,항공·RAF 역사 박물관
12,런던,London Transport Museum,월–일 10:00–18:00,런던 교통·버스·지하철 역사
13,맨체스터,Manchester Museum,"화–일 10:00–17:00, 월 휴무",자연사·고고학 중심
14,맨체스터,Science and Industry Museum,매일 10:00–17:00,산업혁명·기술 전시
15,맨체스터,People’s History Museum,"매주 화 휴무, 10:00–17:00",노동·시민권 역사
16,맨체스터,Manchester Art Gallery,화–일 10:00–17:00,예술 중심 갤러리·박물관
17,리버풀,Museum of Liverpool,"화–일 10:00–16:00, 월 휴무",리버풀 지역 역사 중심
18,리버풀,World Museum,"화–일 10:00–16:00, 월 휴무",자연사·과학·문화 종합 박물관
19,리버풀,Merseyside Maritime Museum,"화–일 10:00–16:00, 월 휴무",해양·선박·타이타닉 전시
20,리버풀,Tate Liverpool,일반 10:00–17:50 (전시별 변동),현대 미술 중심 갤러리
